Country;Legal entity;Division;Position title;Link Type;Link Name;Link url;Image
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;AM;Corporate;M-Analytics;http://10.1.23.89:9502/analytics/saw.dll?dashboard&PortalPath=%2Fshared%2FMOBI%20Home%20Page%2F_portal%2FHome%20Page;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;AM;Corporate;M-Orders;https://mtd-mis.menarini.net/CRM/;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Local;FIRMA-FI.IT;http://www.firma-fi.it/;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;AM;Local;FONDAZIONE MENARINI;http://www.fondazione-menarini.it;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Local;ALBO MEDICI;http://www.fnomceo.it;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Local;MENARINI EASY CHECK;https://mec.menarini.net;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Local;FUEL CARD;http://www.multicard.eni.com/it;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;AM;Local;WELFARE - FOOD CARD;https://titolari.ticketxte.com/web/beneficiari;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Local;NUOVO PORTALE;https://beneficiari.edenred.it/group/portale-beneficiari;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Corporate;SELF SERVICES PASSWORD;https://password.menarini.com/sspr/private/Login;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Corporate;Google 2-Step Verification;https://myaccount.google.com/signinoptions/two-step-verification/enroll-welcome;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;REP;Corporate;M-Privacy;https://mtd.menarini.net/crmweb/login;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;REP;Corporate;M-Analytics;http://10.1.23.89:9502/analytics/saw.dll?dashboard&PortalPath=%2Fshared%2FMOBI%20Home%20Page%2F_portal%2FHome%20Page;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;REP;Corporate;M-Orders;https://mtd-mis.menarini.net/CRM/;
